42||2015-10-14||867 ||011111027916||9.00||	.1428
42||2015-10-14||514 ||011111027916||1.00||	.1428
42||2015-10-14||860 ||011111027916||2.00||	.1428
42||2015-10-14||518 ||011111027916||1.00||	.1428
42||2015-10-14||831 ||011111027916||1.00||	.1428
42||2015-10-14||872 ||020800600330||1.00||	.0204
42||2015-10-14||872 ||020800753050||1.00||	.1429
42||2015-10-14||518 ||020800753067||2.00||	.2143
42||2015-10-14||872 ||020800755719||1.00||	.0000
42||2015-10-14||872 ||020800755726||1.00||	1.4285
42||2015-10-14||505 ||020800755726||2.00||	.1429
42||2015-10-14||872 ||020800756457||4.00||	.0000
42||2015-10-14||605 ||020800790222||1.00||	.0204
42||2015-10-14||872 ||020800790222||2.00||	.7142
42||2015-10-14||507 ||020800790222||1.00||	.1428
42||2015-10-14||501 ||020800790222||1.00||	.2857
42||2015-10-14||608 ||020800790253||1.00||	.0204
42||2015-10-14||867 ||020800790253||1.00||	.1428
42||2015-10-14||514 ||020800790253||1.00||	.1428
42||2015-10-14||518 ||036600963223||1.00||	.1429
42||2015-10-14||605 ||036600963230||1.00||	.0204
42||2015-10-14||520 ||036731106032||2.00||	.1429
42||2015-10-14||604 ||037000394976||1.00||	.1428
42||2015-10-14||860 ||037000394976||1.00||	.1429
42||2015-10-14||518 ||037000394976||1.00||	.0000
42||2015-10-14||561 ||037836084058||2.00||	.0000
42||2015-10-14||810 ||037836084058||1.00||	.1428
42||2015-10-14||872 ||037836084065||1.00||	.0000
42||2015-10-14||810 ||037836084065||1.00||	.1428
42||2015-10-14||561 ||037836084065||1.00||	.0000
42||2015-10-14||507 ||037836084065||1.00||	.0000
42||2015-10-14||501 ||037836084065||1.00||	.1428
42||2015-10-14||515 ||0382903267798||2.00||	.0000
42||2015-10-14||604 ||0382903267804||4.00||	.1428
42||2015-10-14||604 ||0382906709011||25.00||	.1428
42||2015-10-14||501 ||0382906709011||1.00||	1.6667
42||2015-10-14||114 ||041333000992||1.00||	.0000
42||2015-10-14||593 ||041333000992||2.00||	.0000
42||2015-10-14||509 ||041333001098||1.00||	.0000
42||2015-10-14||507 ||041333001098||1.00||	.0000
42||2015-10-14||501 ||041333211350||1.00||	.1428
42||2015-10-14||178 ||041388284316||3.00||	.0204
42||2015-10-14||505 ||041388284316||2.00||	.1429
42||2015-10-14||505 ||047400116429||2.00||	.0000
42||2015-10-14||193 ||047400179240||24.00||	.1428
42||2015-10-14||501 ||047400179240||15.00||	2.1428
42||2015-10-14||593 ||047400179240||2.00||	.1428
42||2015-10-14||193 ||048526055036||1.00||	.1428
42||2015-10-14||176 ||051131862937||10.00||	.0204
42||2015-10-14||515 ||0714706300400||1.00||	.0000
42||2015-10-14||509 ||0714706300400||4.00||	.0000
42||2015-10-14||867 ||0714706300400||1.00||	.2857
42||2015-10-14||608 ||0736085020946||1.00||	.1428
42||2015-10-14||561 ||0736085020946||1.00||	.1428
42||2015-10-14||867 ||0736085020946||1.00||	.0000
42||2015-10-14||178 ||0736085020946||4.00||	.0204
42||2015-10-14||872 ||0736085020946||1.00||	.0000
42||2015-10-14||518 ||0736085020946||1.00||	.0000
42||2015-10-14||515 ||093815700982||1.00||	.0000
42||2015-10-14||514 ||093815700982||1.00||	.0000
42||2015-10-14||114 ||10017||50.00||	.1428
42||2015-10-14||561 ||10017||18.00||	.0000
42||2015-10-14||501 ||1003||7.00||	.1428
42||2015-10-14||515 ||1003||5.00||	.0000
42||2015-10-14||520 ||1003||5.00||	.1429
42||2015-10-14||507 ||1003||3.00||	.0000
42||2015-10-14||515 ||1004||21.00||	.0000
42||2015-10-14||507 ||1004||4.00||	.0000
42||2015-10-14||501 ||1004||7.00||	1.0000
42||2015-10-14||509 ||1005||10.00||	.0000
42||2015-10-14||114 ||10095||14.00||	.0000
42||2015-10-14||507 ||10095||4.00||	.7142
42||2015-10-14||114 ||10096||11.00||	.0204
42||2015-10-14||552 ||101||16.00||	.0204
42||2015-10-14||860 ||101||3.00||	.1429
42||2015-10-14||501 ||101||3.00||	.1428
42||2015-10-14||867 ||101935||2.00||	.1428
42||2015-10-14||515 ||10194||10.00||	.0000
42||2015-10-14||520 ||10194||22.00||	.1429
42||2015-10-14||501 ||101959||6.00||	.8571
42||2015-10-14||507 ||101959||5.00||	.1428
42||2015-10-14||114 ||10361||9.00||	.1428
42||2015-10-14||514 ||10364||2.00||	.0000
42||2015-10-14||501 ||10364||95.00||	.1428
42||2015-10-14||561 ||10364||6.00||	.1428
42||2015-10-14||810 ||10364||32.00||	.1429
42||2015-10-14||193 ||104011||49.00||	.1428
42||2015-10-14||177 ||1050||98.00||	.1428
42||2015-10-14||509 ||10725||5.00||	.0000
42||2015-10-14||831 ||10743||12.00||	.1429
42||2015-10-14||505 ||10743||53.00||	7.8571
42||2015-10-14||501 ||10743||81.00||	11.5714
42||2015-10-14||177 ||1100||579.00||	.1428
42||2015-10-14||515 ||11168||2.00||	.0000
42||2015-10-14||177 ||1250||1426.00||	.1428
42||2015-10-14||177 ||1500||592.00||	.1428
42||2015-10-14||501 ||180022013414||1.00||	.1428
42||2015-10-14||114 ||20001101||3.00||	.1428
42||2015-10-14||114 ||20002101||1.00||	.1428
42||2015-10-14||604 ||20065601615||1.00||	.1428
42||2015-10-14||605 ||20065601615||2.00||	.0204
42||2015-10-14||552 ||20065601615||1.00||	.1428
42||2015-10-14||114 ||2030||5.00||	.0000
42||2015-10-14||114 ||20327||5.00||	.0000
42||2015-10-14||177 ||21000||285.00||	.1428
42||2015-10-14||505 ||2131200488||1.00||	.1428
42||2015-10-14||872 ||2131200488||2.00||	.1428
42||2015-10-14||810 ||2131200488||1.00||	.1428
42||2015-10-14||810 ||21331346506||2.00||	.2857
42||2015-10-14||505 ||21331346506||2.00||	.1428
42||2015-10-14||872 ||21331346506||2.00||	.1428
42||2015-10-14||872 ||2133178722||2.00||	.1428
42||2015-10-14||518 ||2133178722||1.00||	.1428
42||2015-10-14||520 ||2133178722||1.00||	.1428
42||2015-10-14||505 ||2133178722||1.00||	.1428
42||2015-10-14||507 ||2133178722||2.00||	.1428
42||2015-10-14||810 ||2133178722||1.00||	.1428
42||2015-10-14||193 ||2133178722||2.00||	.1428
42||2015-10-14||501 ||2133178722||16.00||	.1428
42||2015-10-14||872 ||21331868820||2.00||	.1428
42||2015-10-14||810 ||21331868820||2.00||	.2857
42||2015-10-14||177 ||2250||309.00||	.1428
42||2015-10-14||867 ||2273821||2.00||	.0000
42||2015-10-14||872 ||2468||3.00||	.0000
42||2015-10-14||608 ||300055501331||1.00||	.1428
42||2015-10-14||178 ||300055501331||32.00||	.1428
42||2015-10-14||605 ||300055502338||1.00||	.1428
42||2015-10-14||872 ||300055502338||1.00||	.0000
42||2015-10-14||810 ||300086515055||1.00||	.0000
42||2015-10-14||608 ||300090029081||1.00||	.0204
42||2015-10-14||552 ||300090029326||1.00||	.0204
42||2015-10-14||515 ||300090050139||2.00||	.1428
42||2015-10-14||177 ||300090050139||2.00||	.1428
42||2015-10-14||178 ||300090050139||5.00||	.0204
42||2015-10-14||867 ||300090050139||1.00||	.1428
42||2015-10-14||179 ||300090050139||7.00||	.0204
42||2015-10-14||501 ||300090050139||1.00||	.1428
42||2015-10-14||593 ||300090050139||1.00||	.0204
42||2015-10-14||176 ||300090090074||1.00||	.0204
42||2015-10-14||501 ||300090094119||1.00||	.2143
42||2015-10-14||604 ||300090275051||1.00||	.1428
42||2015-10-14||602 ||300090275051||1.00||	.0204
42||2015-10-14||608 ||300090275051||1.00||	.0204
42||2015-10-14||501 ||300090275051||2.00||	.1428
42||2015-10-14||518 ||300090275051||1.00||	.1429
42||2015-10-14||872 ||300090275051||2.00||	.0000
42||2015-10-14||867 ||300090275051||1.00||	.1428
42||2015-10-14||860 ||300090275051||2.00||	.1428
42||2015-10-14||178 ||300090275051||5.00||	.0204
42||2015-10-14||507 ||300090275051||1.00||	.1428
42||2015-10-14||604 ||300090286200||1.00||	.1428
42||2015-10-14||605 ||300090286200||1.00||	.0204
42||2015-10-14||602 ||300090286200||1.00||	.0204
42||2015-10-14||520 ||300090286200||1.00||	.0000
42||2015-10-14||515 ||300090286200||1.00||	.0000
42||2015-10-14||178 ||300090286200||3.00||	.0204
42||2015-10-14||860 ||300090286200||1.00||	.1428
42||2015-10-14||810 ||300090286200||1.00||	.1428
42||2015-10-14||867 ||300090286200||2.00||	.1428
42||2015-10-14||593 ||300090286200||3.00||	.0204
42||2015-10-14||507 ||300090286200||1.00||	.1428
42||2015-10-14||501 ||300090286200||5.00||	.7142
42||2015-10-14||608 ||300090286200||1.00||	.0204
42||2015-10-14||552 ||300090286200||2.00||	.0204
42||2015-10-14||561 ||300090556365||1.00||	.1428
42||2015-10-14||518 ||300090556365||1.00||	.0000
42||2015-10-14||515 ||300090556365||3.00||	.0000
42||2015-10-14||520 ||300090556365||2.00||	.1429
42||2015-10-14||509 ||300090556365||2.00||	.0000
42||2015-10-14||872 ||300090556365||1.00||	.1429
42||2015-10-14||810 ||300090556365||1.00||	.1428
42||2015-10-14||867 ||300090556365||1.00||	.1428
42||2015-10-14||608 ||300090760045||1.00||	.0204
42||2015-10-14||810 ||300090760045||1.00||	.1428
42||2015-10-14||605 ||300090775018||2.00||	.0204
42||2015-10-14||501 ||300090775018||3.00||	.4285
42||2015-10-14||507 ||300090775018||1.00||	.2857
42||2015-10-14||604 ||300092960016||3.00||	.0204
42||2015-10-14||605 ||300092960016||1.00||	.0204
42||2015-10-14||872 ||300092960016||1.00||	.0000
42||2015-10-14||177 ||300092960016||22.00||	.0204
42||2015-10-14||505 ||300092960016||4.00||	.1429
42||2015-10-14||860 ||300092960016||1.00||	.0000
42||2015-10-14||179 ||300092960016||5.00||	.0204
42||2015-10-14||501 ||300092960016||1.00||	.2143
42||2015-10-14||179 ||300092960030||56.00||	.0204
42||2015-10-14||501 ||300092960030||1.00||	.1429
