B19187497           5214201601297501065053121    51.37      1      0     0.00  0.00  0.00
B19187497           5214201601297501065053138    51.37      1      0     0.00  0.00  0.00
B19187497           5214201601297501054504535    41.69      2      0    16.00  0.00  0.00
B19187497           5214201601297501050617697    38.04      1      0     0.00  0.00  0.00
B19187497           5214201601297501174600124    46.12      2      0     0.00  0.00  0.00
B19187497           5214201601297501070600730    58.49      1      0     0.00  0.00  0.00
B19187497           5214201601297501070612320    97.42      1      0     0.00  0.00  0.00
B19187497           5214201601297501054500063    16.15      2      0    16.00  0.00  0.00
B19187497           5214201601295900273001566    15.14      3      0    16.00  0.00  0.00
B19187497           5214201601297501086472048    17.38      2      0    16.00  0.00  0.00
B19187497           521420160129 650240007828    14.83      2      0    16.00  0.00  0.00
B19187497           5214201601297501008486504    15.85      1      0    16.00  0.00  0.00
B19187497           5214201601297501035915121    13.95      2      0    16.00  0.00  0.00
B19187497           5214201601297501022105337    11.72      1      0    16.00  0.00  0.00
B19187497           5214201601297501022105207    10.86      2      0    16.00  0.00  0.00
B19187497           5214201601297501022105276    12.78      2      0    16.00  0.00  0.00
B19187497           5214201601297501065053350    78.61      1      0     0.00  0.00  0.00
B19187497           5214201601297501065053367    78.61      1      0     0.00  0.00  0.00
B19187497           5214201601297501299308073   171.57      1      0     0.00  0.00  0.00
B19187497           5214201601290020800600330    28.30      1      0    16.00  0.00  0.00
B19187497           5214201601297501022103111    16.94      1      0    16.00  0.00  0.00
B19187497           5214201601297501022103166    37.09      1      0    16.00  0.00  0.00
B19187497           5214201601297501022103173    51.59      1      0    16.00  0.00  0.00
B19187497           5214201601297896009400148    72.08      2      0    16.00  0.00  0.00
B19187497           521420160129 650240011351    60.40      2      0     0.00  0.00  0.00
B19187497           5214201601294005808829675    39.43      1      0    16.00  0.00  0.00
B19187497           5214201601294005808225958    31.44      1      0    16.00  0.00  0.00
B19187497           5214201601294005808225941    31.44      1      0    16.00  0.00  0.00
B19187497           5214201601297501086313853    15.45      1      0    16.00  0.00  0.00
B19187497           5214201601297501086472017    17.38      2      0    16.00  0.00  0.00
B19187497           5214201601297501035916586    35.03      2      0    16.00  0.00  0.00
B19187497           5214201601297501035916265    35.03      3      0    16.00  0.00  0.00
B19187497           5214201601297501035909007    27.20      3      0    16.00  0.00  0.00
B19187497           5214201601297501022150405    43.63      1      0    16.00  0.00  0.00
B19187497           5214201601297501037908084    65.89      1      0     0.00  9.09  0.00
B19187497           521420160129 650240007651    46.49      2      0     0.00  0.00  0.00
B19187497           521420160129 650240004643    14.83      2      0    16.00  0.00  0.00
B19187497           521420160129 650240004650    14.83      2      0    16.00  0.00  0.00
B19187497           5214201601297501072300218    61.73      9      0     0.00  0.00  0.00
B19187497           5214201601297800005082123    39.24      2      0    16.00  0.00  0.00
B19187497           521420160129 650240002465   120.90      1      0     0.00  0.00  0.00
B19187497           521420160129 650240003950    59.63      2      0     0.00  0.00  0.00
B19187497           521420160129 650240003967    43.13      1      0     0.00  0.00  0.00
B19187497           521420160129 650240005398    64.39      4      0     0.00  0.00  0.00
B19187497           5214201601297501098603867    86.34      2      0     0.00  0.00  0.00
